说明：题型编号，数据结构用J表示，数据库原理用K表示，网络用W表示，软件工程用R表示，操作系统用Z表示，应用基础用C表示，多媒体技术用D表示，硬件部分用Y表示，移动互联应用用H表示，S表示数据表示和计算，L表示离散数学，Q表示软件知识产权；C语言用1表示，C++语言用2表示，Java语言用3表示，JavaScript用4表示，C#用5表示；难度用0和1表示，0表示简单，1表示困难。,,,,,,,,
题号,题型,题目,A,B,C,D,答案,难度
1,C,一个完整的计算机系统包括（ ）,主机健盘与显示器,计算机与外部设备,硬件系统与软件系统,系统软件与应用软件,C,0
2,C,下列设备中，既可作为输入设备又可作为输出设备的是（ ）,鼠标器,打印机,键盘,磁盘驱动器,D,0
3,C,如果给定一个带有通配符的文件名F *.？，则在下列各文件中，它能代表的文件名是（ ）,FA.EXE,F.C,EF.C,FABC.COM,B,1
4,C,如果按字长来划分，微机可以分为8位机、16位机、32位机和64位机。所谓32位机是指该计算机所用的CPU（ ）,同时能处理32位二进制数,具有32位的寄存器,只能处理32位二进制定点数,有32个寄存器,A,1
5,C,下列设备中只能作为输入设备的是（   ）,磁盘驱动器,鼠标器,存储器,显示器,B,0
6,C,应用软件是指（ ）,所有能够使用的软件,能被各应用单位共同使用的某种软件,所有微机上都应使用的基本软件,专门为某一应用目的而编制的软件,D,0
7,C,下列述叙中错误的是（ ）,计算机要经常使用不要长期闲置不用,计算机要轻拿轻放,在计算机附近应避免磁场干扰,计算机用几小时后，应关机一会儿再用,D,0
8,C,用晶体管作为电子器件制成的计算机属于（ ）,第一代,第二代,第三代,第四代,B,0
9,C,计算机的软件系统可分类为（ ）,程序与数据,系统软件与应用软件,操作系统与语言处理程序,程序、数据与文档,B,1
10,C,通常所说的主机主要包括（ ）,CPU,CPU和内存,CPU、内存与外存,CPU、内存与硬盘,B,0
11,C,"在微机系统中,最基本的输入输出模块BIOS存放在（ ）",RAM中,ROM中,硬盘中,寄存器中,B,1
12,C,bit的意思是（ ）,字,字长,字节,二进制位,D,0
13,C,使用超大规模集成电路制造的计算机应该归属于（ ）,第一代,第二代,第三代,第四代,D,0
14,C,"磁盘处理写保护状态,那么磁盘中的数据（ ）","不能读出,不能删改,也不能定入新数据","可以读出,不能删改,也不能写入新数据","可以读出,可以删改,但不能写入新数据","可以读出,不能删改,但可以写入新数据",B,0
15,C,CD-ROM属于,感觉媒体,表示媒体,表现媒体,存储媒体,D,0
16,C,CPU主要由运算器与控制器组成，下列说法中正确的是（ ）,运算器主要负责分析指令，并根据指令要求作相应的运算,控制器主要完成对数据的运算，包括算术运算和逻辑运算,控制器主要负责分析指令，并根据指令要求作相应的运算,控制器直接控制计算机系统的输入与输出操作,D,1
17,C,下列述叙中正确的是（ ）,显示器和打印机都是输出设备,显示器只能显示字符,通常的彩色显示器都有7种颜色,打印机只能打印字符和表格,A,1
18,C,计算机的内存储器比外存储器（ ）,价格便宜,存储容量大,读写速度快,读写速度慢,C,0
19,C,计算机软件一般包括系统软件和（ ）,字处理软件,应用软件,管理软件,科学计算机软件,B,0
20,C,在Windows操作系统中（ ）,同一时刻可以有多个活动窗口,同一时刻可以有多个应用程序在运行，但只有一个活动窗口,同一时刻只能有一个打开的窗口,DOS应用程序窗口与Windows应用程序窗口不能同时打开着,B,1
21,C,"切断计算机电源后,下列存储器中的信息会丢失的是:（ ）",RAM,ROM,光盘,硬盘,A,0
22,C,"Windows环境下,PrintScreen键的作用是（ ）",复制当前窗口到剪贴板,打印当前窗口的内容,复制屏幕到剪贴板,打印屏幕内容,C,1
23,C,"在Windows环境下,为了终止应用程序的运行,应（ ）",关闭该应用程序窗口,最小化该应用程序窗口,双击该应用程序窗口的标题栏,将该应用程序窗口移出屏幕,A,0
24,C,下列说法中正确的是（ ）,计算机体积越大，其功能就越强,在微机性能指标中，CPU主频越高，其运算速度越快,两个显示器屏幕大小相同，则它们的分辨率必定相同,点阵打印机的针数越多，则能打印的汉字字体就超多,B,1
25,C,某优盘上已染有病毒，为防止该病毒传染计算机系统，正确的措施是（ ）,删除该优盘上所有程序,给该优盘消毒,将该优盘放一段时间后再用,将该优盘重新格式化,D,0
26,C,CPU是由( )组成的。,内存储器和控制器,控制器和运算器,内存储器和运算器,内存储器、控制器和运算器,B,0
27,C,第一台数字电子计算机ENIAC诞生于（ ）.,1927年,1938年,1946年,1951年,C,0
28,C,当个人计算机以拨号方式接入Internet网时，必须使用的设备是（ ）,网卡,调制解调器（Modem）,电话机,浏览器软,B,0
29,C,某工厂的仓库管理软件属于（ ）,应用软件,系统软件,工具软件,字处理软件,A,0
30,C,微型计算机的主机包括（ ）,运算器和显示器,CPU和内存储器,CPU和UPS,UPS和内存储器,B,0
